               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.025876,            0.011296,           0.0033106,             0.60273,             0.53791,              0.5663,             0.33499,            0.022874,           0.0066524,             0.01636,           0.0062875,           0.0062875,           0.0062875
                  32,            0.025986,             0.01081,           0.0038728,             0.57468,             0.53967,             0.55135,             0.33469,            0.023419,           0.0068953,            0.019572,           0.0061637,           0.0061637,           0.0061637
                  33,            0.025127,            0.010948,           0.0033112,             0.62167,             0.59663,             0.62136,              0.3593,            0.023801,           0.0071635,           0.0095075,             0.00604,             0.00604,             0.00604
                  34,            0.024963,            0.010789,           0.0040187,              0.5799,             0.61951,             0.61584,              0.3637,             0.02308,            0.007371,            0.010243,           0.0059163,           0.0059163,           0.0059163
                  35,            0.024408,            0.010805,           0.0034404,             0.64227,             0.60758,             0.61907,             0.35879,             0.02334,           0.0070358,           0.0084506,           0.0057925,           0.0057925,           0.0057925
                  36,            0.024689,            0.010595,           0.0026881,             0.55854,             0.63626,             0.60051,             0.35132,            0.022185,           0.0066627,            0.010321,           0.0056688,           0.0056688,           0.0056688
                  37,             0.02308,            0.010281,           0.0034192,             0.63646,             0.60668,              0.6249,             0.34811,            0.023025,           0.0069553,           0.0088427,            0.005545,            0.005545,            0.005545
                  38,             0.02279,            0.010336,           0.0027372,             0.55983,             0.54135,             0.56118,             0.33275,            0.022078,            0.007006,            0.011741,           0.0054212,           0.0054212,           0.0054212
                  39,            0.023033,            0.010478,           0.0030752,             0.49293,             0.57457,             0.53022,             0.31843,            0.022797,           0.0071262,            0.011627,           0.0052975,           0.0052975,           0.0052975
                  40,            0.022646,           0.0099076,           0.0030955,             0.49638,             0.55137,             0.51982,             0.31586,            0.023073,           0.0076447,            0.010485,           0.0051737,           0.0051737,           0.0051737
                  41,            0.022236,           0.0099011,           0.0026731,             0.56639,             0.64375,             0.59586,             0.36457,            0.021916,           0.0066693,            0.012979,             0.00505,             0.00505,             0.00505
                  42,            0.022503,           0.0098273,           0.0023177,             0.57436,             0.56604,             0.56023,             0.34255,            0.023263,           0.0071827,            0.012412,           0.0049263,           0.0049263,           0.0049263
